,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
school,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sex,-0.012285541,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,0.377609704,-0.028605793,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
address,0.279796878,0.028504208,0.146722355,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
famsize,-0.064865752,-0.089861802,-0.037847476,0.072472141,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pstatus,-0.045923273,-0.023442783,-0.029597772,-0.042571945,-0.149611583,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medu,-0.133332947,0.078227891,-0.163658419,-0.138804083,0.043067781,0.123564623,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Fedu,-0.079807289,0.034878306,-0.163438069,-0.07217845,0.058879134,0.088729677,0.623455112,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mjob,0.065338649,-0.115761597,0.089558441,0.096169145,0.087041371,0.012710691,-0.535002379,-0.342173564,1,,,,,,,,,,,,,,,,,,,,,,,,
Fjob,-0.012332538,0.004110447,0.065815729,0.055468147,-0.047131506,-0.020772009,-0.215380574,-0.367788742,0.309159584,1,,,,,,,,,,,,,,,,,,,,,,,
reason,0.126028315,0.009821817,0.005779775,0.119302349,0.000981226,-0.036182498,-0.038194592,-0.017664148,-0.059474336,-0.085863988,1,,,,,,,,,,,,,,,,,,,,,,
guardian,0.075704862,-0.015285199,0.26947855,-0.070317731,0.030442557,-0.026052601,-0.133291223,-0.004839944,0.119903894,-0.06617823,-0.095775957,1,,,,,,,,,,,,,,,,,,,,,
traveltime,0.242308386,0.059721778,0.070640721,0.328095504,-0.063493383,-0.028265209,-0.171639305,-0.158194054,0.108534629,0.066386913,0.088819494,0.063171992,1,,,,,,,,,,,,,,,,,,,,
studytime,-0.090680909,-0.306267618,-0.004140037,0.020912152,0.073594861,-0.024293898,0.064944137,-0.009174639,0.011124151,-0.021954127,-0.083897648,0.031245543,-0.100909119,1,,,,,,,,,,,,,,,,,,,
failures,0.059804247,0.044435881,0.243665377,0.078577512,0.015769174,0.003338663,-0.236679963,-0.250408444,0.103622616,0.007068404,-0.010909371,0.223893742,0.092238746,-0.173563031,1,,,,,,,,,,,,,,,,,,
schoolsup,-0.139788701,-0.138270955,-0.251810893,-0.024711974,0.028641772,0.042237872,-0.036029478,0.037529649,0.097495305,-0.07477488,-0.015198362,-0.022487295,-0.00924638,0.037762698,-0.000437491,1,,,,,,,,,,,,,,,,,
famsup,-0.164966986,-0.151622617,-0.140608584,-0.023903301,0.112893067,-0.01906669,0.183727022,0.185496109,-0.142782562,-0.054605763,-0.076229693,0.013565093,-0.003286261,0.145227617,-0.055074621,0.104681061,1,,,,,,,,,,,,,,,,
paid,-0.017083301,-0.129125619,-0.035932874,-0.052799665,0.013882162,-0.046435228,0.159700381,0.086981416,-0.173602062,0.022754181,-0.086743066,-0.052765783,-0.066420239,0.16721988,-0.188038966,-0.020753282,0.293184339,1,,,,,,,,,,,,,,,
activities,-0.116945576,0.099833177,-0.103062624,0.051360138,0.000113176,-0.097352274,0.108276762,0.112642791,-0.129058085,-0.036620277,-0.020747222,-0.034951591,-0.007766399,0.089877272,-0.069340525,0.046032365,-0.001500108,-0.021382376,1,,,,,,,,,,,,,,
nursery,-0.089276585,-0.008202758,-0.086631917,-0.059588599,-0.102088454,0.090614538,0.193262517,0.157177255,-0.144966858,-0.075105607,-0.044491883,-0.152900833,-0.033338278,0.081324555,-0.100733586,0.045967151,0.059535748,0.10214333,0.002730815,1,,,,,,,,,,,,,
higher,-0.02415036,-0.151055521,-0.209080807,-0.042853735,0.005806391,0.04073472,0.168844534,0.17456552,-0.075853641,0.019105891,-0.137866139,-0.003698179,-0.083508102,0.175081425,-0.300315741,0.054486019,0.100815023,0.189213846,0.096483804,0.054302934,1,,,,,,,,,,,,
internet,-0.13357799,0.044112903,-0.112093508,-0.216842436,-0.000720407,-0.070073999,0.201463449,0.127506611,-0.172439362,-0.03065624,-0.069942871,-0.002879815,-0.111301646,0.059421729,-0.063451235,-0.009683393,0.103581127,0.153131551,0.048662503,0.007829618,0.020373836,1,,,,,,,,,,,
romantic,0.060700144,-0.102023009,0.164668754,-0.005257152,-0.034394816,0.040450831,0.039680612,0.015602498,0.053559637,-0.04698736,0.005050443,0.080939285,0.021962396,0.053284617,0.093137043,-0.080716103,0.012439892,0.005535859,0.019650543,0.027494757,-0.105664454,0.087121716,1,,,,,,,,,,
famrel,-0.047925744,0.058970938,0.053940096,-0.014258381,0.022776443,-0.025178647,-0.003914458,-0.001369727,0.031129589,0.03510146,0.005898467,0.029403156,-0.016807986,0.039730704,-0.044336626,-0.001344629,-0.020436191,0.000459653,0.0406866,-0.003580719,0.024319344,0.032767565,-0.063816157,1,,,,,,,,,
freetime,0.03298753,0.238744246,0.016434389,-0.034878158,-0.017695255,-0.038716829,0.030890867,-0.012845528,-0.073211016,0.0530018,0.111858861,0.051133244,-0.017024944,-0.143198407,0.091987471,-0.045465426,0.010537588,-0.064252872,0.089728164,-0.024696318,-0.061243991,0.051286447,-0.011182172,0.150701444,1,,,,,,,,
goout,-0.007152224,0.075897396,0.12696388,-0.06883481,-0.023064384,-0.003458654,0.064094438,0.043104668,-0.012493607,0.040242614,0.017075262,-0.06396313,0.028539674,-0.063903675,0.124560922,-0.037698491,-0.015631443,0.010493268,0.046087686,0.004611528,-0.039700499,0.074369625,0.007869926,0.064568411,0.285018715,1,,,,,,,
Dalc,0.114209181,0.268170983,0.131124605,0.093494255,-0.101521261,0.030589889,0.019834099,0.002386429,-0.003754075,-0.056838561,0.079703259,0.053660064,0.138325309,-0.196019263,0.136046931,-0.0214851,-0.031575204,0.062465362,-0.066508094,-0.084848638,-0.069828063,0.036210377,0.015120705,-0.077594357,0.209000848,0.266993848,1,,,,,,
Walc,0.065087073,0.274193767,0.117276052,0.101125685,-0.103425008,-0.00604478,-0.04712346,-0.012631018,-0.020244998,0.066905725,0.060232252,-0.02438718,0.134115752,-0.253784731,0.14196203,-0.087151738,-0.086687935,0.060453643,-0.037476696,-0.099533525,-0.100339613,0.0116872,-0.010140952,-0.113397308,0.147821813,0.420385745,0.64754423,1,,,,,
health,-0.042651109,0.143588173,-0.062187369,0.040354868,0.028991659,-0.022307335,-0.046877829,0.014741537,-0.051220284,-0.024783896,0.070075541,-0.001102172,0.007500606,-0.075615863,0.065827282,-0.034123689,0.029297452,-0.078132403,0.023922815,-0.018474716,-0.015894983,-0.080189197,0.026342317,0.094055728,0.075733357,-0.009577254,0.077179582,0.092476317,1,,,,
absences,-0.088480103,-0.066961757,0.175230079,0.027874254,-0.035782518,0.134936901,0.100284818,0.024472887,0.023553592,0.018386031,-0.136277091,0.043492867,-0.012943775,-0.062700175,0.063725833,0.022525888,0.024353249,0.007435174,-0.013609692,0.019155356,-0.056085227,0.101700774,0.153384491,-0.044354095,-0.058077922,0.04430222,0.111908026,0.136291101,-0.029936711,1,,,
G1,-0.02573091,0.091839159,-0.064081497,-0.069704249,-0.071445396,0.016868324,0.205340997,0.190269936,-0.187996287,-0.152131592,-0.031752537,-0.004787855,-0.093039992,0.160611915,-0.354717613,-0.21260651,-0.084568749,0.039079324,0.057009689,0.069263063,0.178264034,0.071618846,-0.037188331,0.022168316,0.01261293,-0.149103967,-0.094158792,-0.126179208,-0.073172073,-0.031002901,1,,
G2,-0.050085577,0.091099439,-0.143474049,-0.126037333,-0.081222539,0.041382098,0.215527168,0.164893393,-0.155340015,-0.115120743,-0.031470367,-0.021253786,-0.153197963,0.135879999,-0.355895635,-0.117385018,-0.059165812,0.105198412,0.050551712,0.068145627,0.179129216,0.119438711,-0.111774206,-0.018281347,-0.013777139,-0.162250034,-0.064120183,-0.084927353,-0.097719866,-0.031776704,0.852118066,1,
G3,-0.045016943,0.103455647,-0.161579438,-0.105756064,-0.08140711,0.058008985,0.217147496,0.152456939,-0.145827373,-0.091127669,-0.008501524,-0.054192932,-0.117142053,0.09781969,-0.36041494,-0.082788215,-0.039157145,0.101996241,0.016099701,0.051567901,0.182464618,0.098483371,-0.12996995,0.051363429,0.01130724,-0.132791474,-0.054660041,-0.051939324,-0.061334605,0.034247316,0.801467932,0.904867989,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
G3,0.045016943,0.103455647,0.161579438,0.105756064,0.08140711,0.058008985,0.217147496,0.152456939,0.145827373,0.091127669,0.008501524,0.054192932,0.117142053,0.09781969,0.36041494,0.082788215,0.039157145,0.101996241,0.016099701,0.051567901,0.182464618,0.098483371,0.12996995,0.051363429,0.01130724,0.132791474,0.054660041,0.051939324,0.061334605,0.034247316,0.801467932,0.904867989,1
